Date,Open,High,Low,Close,Adj Close,Volume
2011-04-01,19.799999,19.799999,19.500000,19.600000,8.807642,2691400
2011-05-01,19.590000,19.690001,19.000000,19.469999,8.749224,2826800
2011-06-01,19.469999,20.350000,19.469999,20.100000,9.048068,4995101
2011-07-01,20.100000,22.000000,20.100000,22.000000,9.903360,1705000
2011-08-01,22.000000,23.000000,21.000000,23.000000,10.353513,1278320
2011-09-01,23.000000,23.500000,22.049999,23.000000,10.454388,1039540
2011-10-01,22.990000,23.000000,21.799999,23.000000,10.454388,1585900
2011-11-01,23.000000,23.000000,22.950001,22.950001,10.431665,0
2011-12-01,22.950001,23.000000,22.950001,23.000000,10.629051,0
2012-01-01,23.000000,23.000000,22.950001,22.950001,10.605945,0
2012-02-01,22.950001,23.000000,22.950001,22.950001,10.605945,0
2012-03-01,22.950001,23.000000,22.950001,22.950001,10.779203,0
2012-04-01,22.950001,26.000000,22.950001,26.000000,12.211735,1250586
2012-05-01,26.000000,27.280001,25.030001,26.500000,12.446576,27817161
2012-06-01,26.680000,28.600000,25.900000,27.400000,12.925209,22980323
2012-07-01,27.700001,29.100000,27.010000,27.490000,12.967661,24669639
2012-08-01,27.600000,29.000000,27.309999,28.100000,13.255416,19952190
2012-09-01,28.200001,29.889999,27.799999,29.110001,13.878404,21929262
2012-10-01,29.200001,35.000000,28.490000,34.500000,16.448126,62791397
2012-11-01,34.700001,37.299999,31.910000,33.970001,16.195442,37609995
2012-12-01,33.810001,39.000000,33.279999,39.000000,18.806486,36114684
2013-01-01,39.000000,40.049999,36.049999,39.840000,19.211544,136219324
2013-02-01,39.840000,42.599998,38.599998,39.619999,19.317949,88637755
2013-03-01,39.230000,41.220001,38.500000,40.750000,19.868910,112078968
2013-04-01,40.759998,48.599998,40.150002,46.700001,22.770020,150365150
2013-05-01,46.700001,46.799999,40.209999,44.360001,21.629080,424294432
2013-06-01,44.349998,46.820000,39.000000,43.290001,21.222662,174742288
2013-07-01,43.290001,44.290001,40.000000,40.770000,19.987249,78380520
2013-08-01,40.820000,41.180000,35.209999,39.189999,19.212660,132970479
2013-09-01,39.150002,39.840000,34.009998,36.259998,17.906721,84575161
2013-10-01,36.400002,41.599998,34.000000,40.580002,20.040121,132231517
2013-11-01,40.590000,41.400002,37.799999,40.959999,20.227777,105471987
2013-12-01,41.250000,43.000000,41.000000,41.820000,20.736868,78373970
2014-01-01,41.820000,45.849998,41.820000,43.180000,21.411242,101773623
2014-02-01,43.180000,43.500000,41.200001,41.970001,20.811253,62423596
2014-03-01,41.560001,45.200001,39.810001,42.230000,21.175669,172565555
2014-04-01,42.009998,42.919998,39.660000,42.740002,21.431410,78456251
2014-05-01,42.740002,42.900002,39.220001,39.310001,19.711479,94230253
2014-06-01,39.470001,45.590000,39.470001,45.270000,22.938192,531223513
2014-07-01,45.270000,47.450001,42.959999,46.459999,23.541157,141943639
2014-08-01,46.299999,48.139999,46.299999,46.950001,23.789446,206659528
2014-09-01,46.869999,47.779999,43.509998,44.209999,22.590614,160865269
2014-10-01,44.299999,47.000000,42.759998,46.799999,23.914059,154109344
2014-11-01,46.799999,48.400002,45.750000,46.779999,23.903841,152342484
2014-12-01,46.779999,46.779999,39.900002,43.480000,22.453945,139984633
2015-01-01,43.480000,45.610001,41.090000,45.200001,23.342190,86591112
2015-02-01,45.200001,46.290001,41.720001,41.930000,21.653492,93026691
2015-03-01,41.930000,43.090000,39.500000,40.410000,21.104748,224659184
2015-04-01,40.709999,41.560001,37.669998,38.279999,19.992317,129049261
2015-05-01,38.279999,40.119999,38.279999,39.279999,20.514589,150984137
2015-06-01,38.950001,39.369999,36.040001,37.310001,19.728281,189972073
2015-07-01,37.320000,39.189999,37.279999,38.700001,20.463266,118806363
2015-08-01,38.500000,38.950001,32.000000,35.889999,18.977430,119769525
2015-09-01,35.799999,37.490002,33.700001,34.910000,18.697853,126289104
2015-10-01,34.230000,37.349998,34.189999,36.279999,19.431633,83813291
2015-11-01,36.279999,39.509998,34.400002,38.509998,20.626022,102614232
2015-12-01,38.639999,38.849998,35.700001,37.990002,20.635511,89270635
2016-01-01,37.990002,38.900002,34.160000,36.360001,19.750124,125077678
2016-02-01,36.360001,38.279999,34.500000,37.830002,20.548603,130715305
2016-03-01,37.410000,40.830002,36.709999,40.160000,22.124619,198043170
2016-04-01,40.040001,42.000000,39.000000,40.959999,22.565344,98867898
2016-05-01,40.889999,41.000000,38.200001,39.959999,22.014427,205035477
2016-06-01,39.509998,40.490002,36.740002,38.860001,21.676905,94664128
2016-07-01,39.000000,39.549999,37.150002,38.240002,21.331059,136495414
2016-08-01,38.240002,39.290001,35.980000,36.360001,20.282356,155874374
2016-09-01,36.849998,38.500000,35.000000,35.419998,20.008045,141934264
2016-10-01,35.500000,36.740002,35.099998,36.070000,20.375216,109943335
2016-11-01,36.000000,36.750000,28.160000,31.770000,17.946232,189479416
2016-12-01,32.000000,33.529999,31.000000,31.760000,18.192581,184323180
2017-01-01,32.180000,32.389999,27.620001,29.820000,17.081320,134778335
2017-02-01,30.040001,30.660000,28.260000,29.059999,16.645979,302967044
2017-03-01,29.139999,32.490002,28.980000,32.080002,18.693867,228183072
2017-04-01,32.209999,33.099998,31.040001,32.880001,19.160040,147505615
2017-05-01,32.880001,35.590000,32.099998,33.049999,19.259109,132835441
2017-06-01,33.970001,35.000000,32.910000,34.419998,20.377712,112601085
2017-07-01,34.580002,34.750000,32.520000,32.900002,19.477831,70901458
2017-08-01,33.169998,33.980000,31.309999,31.889999,18.879879,88612441
2017-09-01,31.959999,32.560001,30.080000,30.719999,18.469912,192997906
2017-10-01,30.760000,32.509998,29.700001,30.170000,18.139233,309512860
2017-11-01,30.240000,30.940001,28.160000,29.120001,17.807413,133861413
2017-12-01,29.120001,29.459999,27.900000,29.139999,17.819641,118055197
2018-01-01,29.139999,29.860001,28.090000,29.290001,17.911366,114517419
2018-02-01,29.500000,29.650000,26.309999,26.580000,16.254150,115929636
2018-03-01,27.400000,28.500000,26.320000,27.360001,17.242569,134171148
2018-04-01,27.459999,31.930000,26.920000,30.969999,19.517626,110643294
2018-05-01,30.969999,31.400000,27.070000,27.530001,17.349705,135201241
2018-06-01,27.570000,29.180000,26.620001,28.840000,18.511200,196482149
2018-07-01,28.730000,29.290001,26.420000,26.840000,17.227478,124799163
2018-08-01,26.900000,27.200001,24.500000,25.059999,16.084972,173616328
2018-09-01,25.150000,25.330000,23.600000,24.610001,16.125923,300952823
2018-10-01,24.690001,25.660000,21.400000,21.830000,14.304302,261407449
2018-11-01,21.940001,23.389999,20.230000,20.600000,13.498338,190560562
2018-12-01,20.750000,22.500000,20.559999,21.840000,14.663141,120233025
2019-01-01,21.840000,26.639999,21.549999,26.240000,17.617254,168053837
2019-02-01,26.299999,27.180000,25.120001,26.680000,17.912664,113112031
2019-03-01,26.680000,28.100000,26.040001,26.820000,18.406544,129108602
2019-04-01,26.870001,28.530001,26.090000,28.260000,19.394815,131632787
2019-05-01,28.260000,28.260000,23.549999,25.150000,17.260426,163383427
2019-06-01,25.240000,26.670000,24.379999,25.420000,17.819193,100769873
2019-07-01,25.590000,25.750000,23.700001,24.629999,17.265409,117458859
2019-08-01,24.570000,27.990000,23.420000,27.690001,19.410440,159808950
2019-09-01,27.469999,29.690001,26.930000,28.840000,20.711969,151429205
2019-10-01,29.000000,31.830000,28.500000,29.219999,20.984869,194213508
2019-11-01,29.170000,31.490000,28.320000,29.870001,21.451683,161772943
2019-12-01,30.110001,30.110001,28.059999,29.250000,21.433186,149121364
2020-01-01,29.250000,32.990002,29.250000,31.070000,22.766802,195735863
2020-02-01,31.070000,32.500000,27.520000,29.590000,21.682323,146879129
2020-03-01,29.639999,31.990000,15.290000,18.590000,13.878670,322208071
2020-04-01,18.180000,24.000000,17.180000,19.770000,14.759617,163866463
2020-05-01,19.770000,19.980000,16.809999,16.910000,12.624439,141665598
2020-06-01,16.870001,22.350000,16.770000,18.250000,13.835328,248769920
2020-07-01,18.219999,18.549999,16.480000,17.950001,13.607897,174505837
2020-08-01,18.000000,19.309999,16.799999,17.080000,12.948350,182208176
2020-09-01,17.129999,17.600000,16.020000,17.490000,13.464330,300963519
2020-10-01,17.490000,17.820000,15.750000,16.070000,12.371170,174580501
2020-11-01,16.070000,20.500000,15.950000,20.100000,15.473587,252238194
2020-12-01,20.150000,23.360001,19.700001,22.500000,17.684683,168535010
2021-01-01,22.500000,23.959999,21.469999,22.889999,17.991215,140936384
2021-02-01,22.889999,24.500000,22.610001,23.660000,18.596424,144451172
2021-03-01,23.760000,24.799999,23.370001,23.889999,19.024450,161130847
2021-04-01,23.889999,25.500000,23.700001,25.010000,19.916348,148937824
2021-05-01,24.600000,25.400000,22.160000,23.629999,18.817400,101060356
2021-06-01,23.250000,23.719999,21.200001,21.530001,17.380135,177541538
2021-07-01,21.530001,22.280001,21.070000,21.700001,17.517365,216438704
2021-08-01,21.680000,23.160000,20.780001,22.850000,18.445705,114649515
2021-09-01,22.690001,23.730000,21.250000,23.400000,19.185984,99555292
2021-10-01,23.490000,23.490000,19.980000,20.459999,16.775436,176441329
2021-11-01,20.459999,21.200001,19.000000,19.700001,16.152304,100380537
2021-12-01,19.799999,21.799999,19.510000,21.639999,18.061312,104979486
2022-01-01,21.709999,22.930000,19.700001,21.200001,17.694077,119279648
2022-02-01,21.879999,23.360001,20.629999,23.080000,19.263170,120519170
2022-03-01,22.959999,24.160000,21.000000,23.299999,20.089014,160430066
2022-04-01,23.299999,24.650000,21.950001,22.379999,19.295799,159242530
2022-05-01,22.500000,23.160000,20.100000,20.780001,17.916296,250865535
2022-06-01,20.770000,20.770000,18.400000,20.030001,17.661964,215980208
2022-07-01,20.000000,21.650000,20.000000,20.809999,18.349747,126829764
2022-08-01,20.820000,21.730000,19.980000,21.090000,18.596643,144705545
2022-09-01,21.000000,22.840000,20.010000,20.719999,18.731525,114125786
2022-10-01,20.910000,23.219999,20.450001,23.129999,20.910240,100427114
2022-11-01,23.129999,24.490000,22.879999,23.870001,21.579226,103266581
2022-12-01,24.080000,24.670000,22.860001,23.000000,21.294834,123583085
2023-01-01,23.080000,26.100000,23.080000,25.480000,23.590969,133569887
2023-02-01,25.590000,27.219999,24.150000,26.100000,24.165007,119135113
2023-03-01,26.490000,26.500000,23.280001,25.230000,24.273348,149756703
2023-04-01,25.190001,25.549999,23.799999,24.809999,23.869274,105595874
2023-05-01,24.780001,25.950001,23.309999,25.799999,24.821735,129513565
2023-06-01,25.510000,26.260000,24.040001,24.990000,24.429674,116128314
2023-07-01,25.000000,25.500000,24.219999,25.170000,24.605639,102173512
2023-08-01,25.160000,26.350000,24.520000,24.760000,24.204830,137744034
2023-09-01,24.950001,29.860001,23.990000,28.030001,28.030001,150334836
2023-09-22,28.020000,28.980000,27.910000,28.610001,28.610001,8206439
