Date,Open,High,Low,Close,Adj Close,Volume
2018-09-01,19.500000,19.500000,19.500000,19.500000,12.255070,0
2018-10-01,19.500000,19.500000,19.500000,19.500000,12.498254,0
2018-11-01,19.500000,19.500000,19.500000,19.500000,12.498254,0
2018-12-01,19.500000,19.500000,19.500000,19.500000,12.752654,0
2019-01-01,19.500000,19.500000,19.500000,19.500000,12.752654,0
2019-02-01,19.500000,19.500000,19.500000,19.500000,12.752654,0
2019-03-01,19.500000,19.500000,19.500000,19.500000,12.752654,0
2019-04-01,19.500000,19.500000,19.500000,19.500000,13.014127,0
2019-05-01,19.500000,19.500000,19.500000,19.500000,13.014127,0
2019-06-01,19.500000,19.500000,19.500000,19.500000,13.283666,0
2019-07-01,19.500000,19.500000,19.500000,19.500000,13.283666,0
2019-08-01,19.500000,19.500000,19.500000,19.500000,13.283666,0
2019-09-01,19.500000,19.500000,19.500000,19.500000,13.571968,2564466
2019-10-01,19.500000,19.500000,19.500000,19.500000,13.571968,0
2019-11-01,19.500000,19.500000,19.500000,19.500000,13.571968,0
2019-12-01,19.500000,19.600000,19.500000,19.600000,13.939552,1275
2020-01-01,19.600000,19.600000,19.200001,19.200001,13.655071,260410
2020-02-01,19.200001,19.200001,19.000000,19.010000,13.519943,1473766
2020-03-01,19.010000,19.500000,18.990000,19.500000,13.868435,1002645
2020-04-01,19.500000,19.500000,19.000000,19.000000,13.826289,270
2020-05-01,19.000000,19.000000,18.888313,18.888313,13.745012,259
2020-06-01,18.888313,18.888313,18.888313,18.888313,14.071719,880
2020-07-01,18.888313,18.888313,18.878372,18.878372,14.064314,15385
2020-08-01,18.878372,18.888313,18.769018,18.769018,13.982846,45641
2020-09-01,18.769018,19.385374,18.490664,18.490664,14.126426,2348623
2020-10-01,18.490664,18.490664,18.192429,18.192429,13.898581,11734943
2020-11-01,18.192429,18.500605,17.894192,18.391253,14.050475,10837267
2020-12-01,18.391253,18.808783,18.391253,18.391253,14.415163,51779585
2021-01-01,18.391253,18.629841,17.715248,17.745073,13.908683,370049
2021-02-01,17.745073,18.401194,17.745073,17.894192,14.025565,320634
2021-03-01,17.993603,21.880619,17.794779,21.771267,17.064440,768209
2021-04-01,21.771267,21.870678,19.500000,19.500000,16.111851,10612826
2021-05-01,20.090000,22.000000,20.000000,21.690001,17.921339,534074
2021-06-01,22.000000,22.000000,20.950001,21.000000,17.741758,205191
2021-07-01,21.000000,22.000000,19.950001,21.700001,18.333151,8094603
2021-08-01,21.959999,21.990000,20.969999,21.480000,18.147284,237125
2021-09-01,21.480000,23.309999,21.469999,22.950001,19.809776,227752
2021-10-01,22.990000,23.000000,21.969999,21.990000,18.981133,613102
2021-11-01,22.000000,23.040001,21.969999,23.000000,19.852936,286516
2021-12-01,23.000000,25.549999,22.980000,25.480000,22.454882,195204
2022-01-01,25.480000,29.000000,25.400000,27.500000,24.235054,308647
2022-02-01,27.600000,30.510000,27.600000,30.490000,26.870068,119428
2022-03-01,30.500000,34.470001,27.500000,28.900000,25.468842,154450
2022-04-01,29.000000,29.950001,28.510000,29.750000,26.631708,108433
2022-05-01,29.950001,29.959999,28.330000,29.200001,26.139355,2116125
2022-06-01,29.500000,30.639999,29.500000,30.350000,27.697363,125207
2022-07-01,30.299999,33.000000,30.020000,31.920000,29.130142,53111
2022-08-01,31.910000,32.029999,31.440001,31.440001,29.205704,114044
2022-09-01,31.000000,31.290001,29.490000,29.490000,27.394279,73318
2022-10-01,29.490000,29.490000,28.920000,29.000000,26.939102,39225
2022-11-01,29.000000,29.000000,28.000000,28.700001,26.660423,295089
2022-12-01,28.700001,30.000000,27.990000,29.750000,28.179502,205714
2023-01-01,29.700001,29.799999,29.500000,29.580000,28.018478,38947
2023-02-01,29.600000,31.750000,29.570000,31.000000,29.363516,246197
2023-03-01,30.900000,31.500000,30.629999,31.480000,30.383192,24115
2023-04-01,31.500000,32.910000,31.490000,32.910000,31.763371,29206
2023-05-01,32.799999,32.799999,31.940001,31.940001,30.827166,93899134
2023-06-01,31.799999,31.799999,28.889999,30.020000,29.495363,1583764
2023-07-01,29.950001,29.950001,28.590000,29.000000,28.493189,128352
2023-08-01,28.990000,28.990000,27.950001,28.049999,27.559790,239500
2023-09-01,28.030001,28.510000,28.010000,28.400000,28.400000,1506806
2023-09-21,28.400000,28.400000,28.400000,28.400000,28.400000,1906
